,Model,Size,Alphabet Size,Longest Prefix,Longest Suffix,Random,Linear,Square,Exponential,Hardness
0,jsse-12_rsa_cert_req,113,10,8,6,1,8,12,29,130170154803891.61
1,scandium-2.0.0_ecdhe_cert_req,31,10,8,3,1,13,19,22,3264993439.7397265
2,scandium-2.0.0_ecdhe_cert_none,30,10,7,3,0,0,0,0,2547904195.997053
3,ctinydtls_psk,25,7,7,5,0,0,2,1,19434566584.25379
4,scandium_latest_psk,13,7,6,2,0,0,0,0,7544628.0
5,gnutls-3.5.19_psk_rsa_cert_nreq,29,12,6,4,0,0,0,3,49436088045.62031
6,scandium_latest_ecdhe_cert_nreq,17,10,7,2,0,0,0,0,53578774.795446254
7,ctinydtls_ecdhe_cert_req,30,10,11,5,0,1,2,5,461472000000.0
8,jsse-12_rsa_cert_nreq,105,10,8,6,3,3,7,23,105338583198008.88
9,openssl-1.1.1b_all_cert_req,19,16,6,3,2,21,25,26,4016072296.8764577
10,pion_ecdhe_cert_req,66,10,8,3,0,0,0,0,26973606651.887314
11,pion_ecdhe_cert_nreq,66,10,8,3,0,0,0,0,26973606651.887314
12,pion_ecdhe_cert_none,66,10,8,3,0,0,0,0,26973606651.887314
13,scandium_latest_ecdhe_cert_none,13,10,6,2,0,0,0,0,21785400.0
14,jsse-12_rsa_cert_none,79,10,8,6,3,2,14,27,46656821092898.86
15,pion_psk,14,7,5,2,0,0,0,0,7261153.775035808
16,etinydtls_psk,22,7,7,5,0,0,11,6,13867705513.429014
17,scandium-2.0.0_psk,16,7,6,2,0,0,0,0,12983040.0
18,scandium_latest_ecdhe_cert_req,15,10,8,2,0,0,0,0,45996578.42846621
19,openssl-1.1.1b_all_cert_nreq,22,16,6,3,2,27,30,29,5952943444.401775
20,openssl-1.1.1b_all_cert_none_nreq,14,16,6,2,0,0,7,0,107390976.0
21,mbedtls_all_cert_req,17,16,6,3,0,0,0,0,2989058625.961267
22,nss-3.6.7_dhe_ecdhe_rsa,10,11,4,2,0,0,0,0,8718579.496055847
23,etinydtls_ecdhe_cert_none,22,10,7,5,0,3,18,14,117069086365.37758
24,scandium-2.0.0_ecdhe_cert_nreq,45,10,8,3,0,4,6,6,9141742141.431728
25,mbedtls_all_cert_none,12,16,5,2,0,0,0,0,56852578.46045329
26,etinydtls_ecdhe_cert_req,27,10,11,5,0,4,20,15,349925400000.0
27,mbedtls_all_cert_nreq,20,16,5,3,0,0,0,0,3704422400.0
28,ctinydtls_ecdhe_cert_none,25,10,7,5,0,1,1,4,164196263219.21695
